project,area_bucket,district,market_segment,tenure,property_type,bedrooms_mode,median_buy_ttm,median_rent_ttm,gross_yield_ttm,payback_years_ttm,buy_count_ttm,rent_count_ttm,latest_buy_date,latest_rent_date
VIBES@UPPER SERANGOON,80-90,19,,,,2,,3500.0,,,0,1,,2026-05-01
HOLLAND TOWER,170-180,10,CCR,Freehold,Apartment,5,,6000.0,,,0,3,2025-07-01,2026-04-01
THE HELICONIA,200-210,14,,,,,,,,,0,0,,2025-03-01
BUONA VISTA GARDENS,170-180,5,,,,3,,4800.0,,,0,1,,2025-10-01
SUNSHINE LODGE,50-60,19,OCR,Freehold,Apartment,1,722888.0,2030.0,3.3698,29.675,1,2,2026-03-01,2025-12-01
CLEMENTI PARK,160-170,21,OCR,Freehold,Condominium,3,2880000.0,5900.0,2.4583,40.678,1,4,2025-09-01,2026-05-01
AMARANDA GARDENS,90-100,19,,,,2,,3990.0,,,0,5,,2026-04-01
NORTH PARK RESIDENCES,90-100,27,OCR,99 yrs lease commencing from 2015,Apartment,3,1880000.0,5600.0,3.5745,27.976,3,4,2026-01-01,2026-05-01
CHOON MOEY MANSIONS,100-110,14,,,,3,,2300.0,,,0,6,,2026-05-01
CANBERRA RESIDENCES,80-90,27,OCR,99 yrs lease commencing from 2010,Condominium,2,1138500.0,3200.0,3.3729,29.648,2,6,2026-05-01,2026-02-01
COUNTRY PARK CONDOMINIUM,160-170,16,OCR,Freehold,Condominium,3,,5550.0,,,0,2,2025-03-01,2025-09-01
THE GARDEN RESIDENCES,60-70,19,OCR,99 yrs lease commencing from 2017,Apartment,2,1290000.0,3700.0,3.4419,29.054,3,11,2026-04-01,2026-03-01
BIRMINGHAM MANSIONS,150-160,11,,,,3,,4800.0,,,0,1,,2026-04-01
GRAND DUCHESS AT ST PATRICK'S,120-130,15,OCR,Freehold,Condominium,3,3118888.0,6300.0,2.4239,41.255,1,8,2025-08-01,2026-05-01
D'PAVILION,110-120,19,,,,3,,4500.0,,,0,2,,2026-02-01
RIVERIA GARDENS,130-140,9,CCR,Freehold,Apartment,3,3500000.0,7800.0,2.6743,37.393,1,3,2025-10-01,2026-05-01
SANTA FE MANSIONS,100-110,15,RCR,Freehold,Apartment,3,1950000.0,3700.0,2.2769,43.919,6,1,2026-06-01,2025-11-01
THE CENTREN,50-60,14,RCR,Freehold,Apartment,2,,3200.0,,,0,3,2025-01-01,2026-04-01
THE PIER AT ROBERTSON,100-110,9,CCR,Freehold,Apartment,2,,6000.0,,,0,9,2025-04-01,2026-05-01
LAKE GRANDE,130-140,22,OCR,99 yrs lease commencing from 2015,Condominium,,2650000.0,,,,1,0,2026-06-01,2025-01-01
GRANDEUR PARK RESIDENCES,130-140,16,OCR,99 yrs lease commencing from 2016,Condominium,5,2950000.0,7500.0,3.0508,32.778,3,3,2025-10-01,2026-02-01
THE METZ,90-100,9,CCR,Freehold,Condominium,2,2725000.0,7450.0,3.2807,30.481,2,22,2026-02-01,2026-05-01
D' CASITA,70-80,14,,,,2,,5700.0,,,0,2,,2025-10-01
SCOTTS HIGHPARK,350-400,9,CCR,Freehold,Condominium,,11500000.0,,,,1,0,2026-04-01,
SELETAR PARK RESIDENCE,140-150,28,OCR,99 yrs lease commencing from 2011,Condominium,3,1650000.0,4500.0,3.2727,30.556,1,1,2026-03-01,2025-12-01
AVALON,160-170,10,,,,3,,7900.0,,,0,1,,2026-01-01
ASCENT @ 456,60-70,12,RCR,Freehold,Apartment,3,1054000.0,3500.0,3.9848,25.095,2,7,2025-10-01,2026-04-01
NASSIM MANSION,>300,10,,,,NA,,16700.0,,,0,10,,2026-05-01
THE ANTARES,40-50,14,RCR,99 yrs lease commencing from 2018,Apartment,1,895888.0,3300.0,4.4202,22.623,1,6,2025-11-01,2026-05-01
MARTIN PLACE RESIDENCES,130-140,9,CCR,Freehold,Condominium,3,4015000.0,9050.0,2.7049,36.971,2,16,2026-04-01,2026-05-01
THE TROPIC GARDENS,70-80,16,,,,,,,,,0,0,,2025-07-01
GILSTEAD COURT,130-140,11,CCR,Freehold,Condominium,3,,4825.0,,,0,4,2025-06-01,2026-02-01
INZ RESIDENCE,150-160,23,OCR,99 yrs lease commencing from 2015,Executive Condominium,,2340000.0,,,,2,0,2025-11-01,
PRESTO@UPPER SERANGOON,30-40,19,OCR,Freehold,Apartment,1,730000.0,2650.0,4.3562,22.956,1,6,2025-12-01,2026-05-01
ISUITES @ MARSHALL,100-110,15,RCR,Freehold,Apartment,3,1610000.0,3900.0,2.9068,34.402,1,1,2026-04-01,2026-04-01
CAVENAGH FORTUNA,50-60,9,,,,1,,3350.0,,,0,6,,2026-03-01
HILLCREST ARCADIA,100-110,11,,,,,,,,,0,0,,2025-07-01
OTTO PLACE,110-120,24,OCR,99 yrs lease commencing from 2024,Executive Condominium,,2080000.0,,,,60,0,2026-04-01,
NORMANTON PARK,60-70,5,RCR,99 yrs lease commencing from 2019,Apartment,2,1337500.0,4200.0,3.7682,26.538,36,146,2026-06-01,2026-05-01
SELETAR HILLS ESTATE,100-110,28,,,,NA,,4500.0,,,0,1,,2026-04-01
8 EDEN GROVE,120-130,19,,,,,,,,,0,0,,2025-05-01
AVILA GARDENS,50-60,17,,,,NA,,2500.0,,,0,1,,2025-12-01
MORI,110-120,14,,,,NA,,7000.0,,,0,1,,2025-08-01
DAIRY FARM RESIDENCES,70-80,23,OCR,99 yrs lease commencing from 2018,Apartment,2,,3800.0,,,0,4,2025-07-01,2026-05-01
SKY EVERTON,60-70,2,RCR,Freehold,Apartment,2,2100000.0,5200.0,2.9714,33.654,1,15,2026-01-01,2026-05-01
CAVENAGH LODGE,150-160,9,,,,3,,5700.0,,,0,9,,2026-05-01
6 DERBYSHIRE,>300,11,,,,4,,13000.0,,,0,1,,2025-12-01
PINE SPRINGS,130-140,10,,,,3,,7100.0,,,0,1,,2025-12-01
SPAZIO @ KOVAN,90-100,19,,,,,,,,,0,0,,2025-03-01
SELETAR PARK RESIDENCE,110-120,28,,,,3,,4650.0,,,0,2,,2026-05-01
SUITES @ SIMS,40-50,14,,,,2,,2800.0,,,0,1,,2026-02-01
TERRASSE,40-50,19,,,,1,,2650.0,,,0,7,,2025-12-01
VERANDA,240-250,15,,,,3,,5500.0,,,0,1,,2025-09-01
SOPHIA 98,90-100,9,,,,2,,4250.0,,,0,1,,2025-08-01
THE CITRON RESIDENCES,30-40,8,RCR,Freehold,Apartment,1,,2900.0,,,0,3,2025-02-01,2026-05-01
LEONIE TOWERS,>300,9,,,,4,,10700.0,,,0,7,,2026-05-01
THE HUNTINGTON,130-140,11,,,,3,,5100.0,,,0,1,,2026-01-01
PARKSUITES,110-120,10,,,,3,,7100.0,,,0,15,,2026-05-01
UP@ROBERTSON QUAY,60-70,9,,,,1,,4800.0,,,0,1,,2026-03-01
LA SUISSE,220-230,11,,,,3,,7000.0,,,0,2,,2026-05-01
SORA,80-90,22,OCR,99 yrs lease commencing from 2023,Apartment,,2136000.0,,,,6,0,2026-06-01,
SOPHIA LODGE,90-100,9,CCR,Freehold,Apartment,2,,5600.0,,,0,2,2025-03-01,2026-05-01
THE AZURE,150-160,4,CCR,99 yrs lease commencing from 2005,Condominium,3,3000000.0,8400.0,3.36,29.762,1,9,2026-01-01,2026-05-01
LOFT@HOLLAND,100-110,10,,,,2,,4200.0,,,0,1,,2026-01-01
CITY GATE,30-40,7,,,,1,,3500.0,,,0,11,,2026-05-01
WATERVIEW,100-110,18,OCR,99 yrs lease commencing from 2010,Condominium,3,1825000.0,4600.0,3.0247,33.062,2,23,2025-09-01,2026-05-01
21 RICHARDS,30-40,19,OCR,Freehold,Apartment,1,,2625.0,,,0,4,2025-03-01,2026-05-01
D'OASIA,40-50,14,,,,1,,2700.0,,,0,1,,2025-12-01
BOUGAINVILLA APARTMENTS,90-100,14,,,,3,,4600.0,,,0,1,,2025-09-01
SUNSHINE GRANDEUR,50-60,15,OCR,Freehold,Apartment,,940000.0,,,,1,0,2025-09-01,
THE TANAMERA,80-90,16,OCR,99 yrs lease commencing from 1990,Condominium,2,1170000.0,3500.0,3.5897,27.857,3,13,2025-12-01,2026-04-01
THE ACACIAS,100-110,13,,,,,,,,,0,0,,2025-07-01
SEASIDE RESIDENCES,50-60,15,OCR,99 yrs lease commencing from 2016,Apartment,1,1228888.0,3600.0,3.5154,28.446,7,67,2026-06-01,2026-05-01
SHIRO,80-90,15,,,,2,,4700.0,,,0,1,,2026-02-01
THE LOFT,100-110,10,CCR,99 yrs lease commencing from 1999,Condominium,2,2420000.0,6500.0,3.2231,31.026,1,4,2025-10-01,2026-04-01
THE ALPS RESIDENCES,90-100,18,OCR,99 yrs lease commencing from 2015,Condominium,3,1622000.0,4700.0,3.4772,28.759,3,6,2025-10-01,2026-05-01
THE IMPERIAL,180-190,9,CCR,Freehold,Condominium,NA,5000000.0,11000.0,2.64,37.879,1,1,2025-08-01,2025-09-01
LE QUEST,70-80,23,OCR,99 yrs lease commencing from 2016,Apartment,3,,4400.0,,,0,5,2025-06-01,2026-04-01
THE WARREN,110-120,23,OCR,99 yrs lease commencing from 2001,Condominium,3,1528000.0,4225.0,3.3181,30.138,7,30,2026-05-01,2026-05-01
LAKEVIEW ESTATE,150-160,20,RCR,99 yrs lease commencing from 1977,Apartment,,1669000.0,,,,10,0,2026-05-01,
TAIPAN JADE,100-110,15,,,,3,,4500.0,,,0,3,,2026-01-01
THE AMARELLE,100-110,15,,,,2,,4775.0,,,0,2,,2025-11-01
NORMANTON PARK,190-200,5,,,,4,,10000.0,,,0,3,,2026-02-01
UE SQUARE,170-180,9,,,,4,,7700.0,,,0,1,,2026-05-01
SPRINGDALE CONDOMINIUM,80-90,21,OCR,999 yrs lease commencing from 1877,Condominium,2,1520000.0,3500.0,2.7632,36.19,3,17,2026-05-01,2026-05-01
GRANGE 70,180-190,10,,,,3,,7900.0,,,0,6,,2026-04-01
ISLAND VIEW,270-280,5,,,,,,,,,0,0,,2025-05-01
ONE AMBER,120-130,15,RCR,Freehold,Condominium,3,3109444.0,6500.0,2.5085,39.865,6,36,2026-05-01,2026-05-01
THE BAYSHORE,130-140,16,OCR,99 yrs lease commencing from 1993,Condominium,4,2010000.0,5550.0,3.3134,30.18,7,12,2026-06-01,2026-05-01
PINERY RESIDENCES,80-90,16,OCR,99 yrs lease commencing from 2025,Apartment,,2203000.0,,,,48,0,2026-05-01,
HILLVIEW HEIGHTS,110-120,23,OCR,Freehold,Condominium,3,2096944.0,4200.0,2.4035,41.606,2,16,2026-03-01,2026-05-01
LOYANG VALLEY,>800,17,OCR,99 yrs lease commencing from 1982,Condominium,,880000000.0,,,,1,0,2026-04-01,
THE ANSLEY,60-70,11,CCR,Freehold,Condominium,1,1214000.0,3800.0,3.7562,26.623,2,2,2026-06-01,2026-05-01
SOMMERVILLE PARK,180-190,10,CCR,Freehold,Condominium,3,4320000.0,8000.0,2.2222,45.0,5,23,2025-12-01,2026-05-01
THE SEN,40-50,21,RCR,99 yrs lease commencing from 2025,Condominium,,1029050.0,,,,10,0,2025-11-01,
FONTANA HEIGHTS,300-350,10,CCR,Freehold,Condominium,,6000000.0,,,,1,0,2025-10-01,
LEICESTER SUITES,80-90,13,,,,1,,3900.0,,,0,1,,2025-10-01
VENTANA,100-110,5,RCR,Freehold,Apartment,,,,,,0,0,2025-03-01,
AURALIS,60-70,15,OCR,Freehold,Apartment,2,1320000.0,3575.0,3.25,30.769,1,6,2026-05-01,2026-02-01
THE URBANITE,70-80,8,,,,,,,,,0,0,,2025-03-01
TREASURE LOFT,80-90,11,,,,,,,,,0,0,,2025-06-01
GARDEN PARK RESIDENCES,110-120,15,OCR,Freehold,Apartment,,,,,,0,0,2025-07-01,
FLO RESIDENCE,70-80,19,OCR,99 yrs lease commencing from 2011,Condominium,2,,3500.0,,,0,33,2025-06-01,2026-05-01
SUITES @ TOPAZ,90-100,12,RCR,Freehold,Apartment,,,,,,0,0,2025-04-01,
THE SUNNYDALE,130-140,19,,,,3,,5000.0,,,0,1,,2025-10-01
KATONG GARDENS,110-120,15,,,,NA,,4275.0,,,0,4,,2026-02-01
LUCKY PLAZA,70-80,9,,,,2,,4500.0,,,0,5,,2026-05-01
KAI FOOK MANSION,90-100,3,,,,2,,4400.0,,,0,2,,2026-03-01
THE CENTRIS,120-130,22,OCR,99 yrs lease commencing from 2006,Apartment,3,2095000.0,6350.0,3.6372,27.493,6,8,2026-06-01,2026-03-01
DAISY LODGE,60-70,13,,,,NA,,2600.0,,,0,1,,2025-10-01
21 SHELFORD,80-90,11,CCR,Freehold,Condominium,2,1850000.0,4000.0,2.5946,38.542,1,3,2026-05-01,2026-04-01
CASA AL MARE,60-70,17,OCR,Freehold,Apartment,2,,3300.0,,,0,1,2025-07-01,2025-10-01
AN CHUAN BUILDING,230-240,7,,,,,,,,,0,0,,2025-05-01
EMERALD PARK,80-90,3,RCR,99 yrs lease commencing from 1991,Condominium,2,1471500.0,4200.0,3.4251,29.196,4,13,2026-05-01,2026-05-01
ASTRID MEADOWS,280-290,10,,,,NA,,16500.0,,,0,1,,2025-12-01
THE MERCURY,50-60,10,CCR,Freehold,Apartment,1,1370000.0,3700.0,3.2409,30.856,1,10,2025-08-01,2026-04-01
NATHAN SUITES,180-190,10,,,,4,,13000.0,,,0,1,,2026-03-01
PANDAN VALLEY,230-240,21,RCR,Freehold,Condominium,4,3650000.0,6400.0,2.1041,47.526,1,2,2026-05-01,2026-03-01
THOMSON GRAND,120-130,20,RCR,99 yrs lease commencing from 2010,Condominium,3,2557500.0,5700.0,2.6745,37.39,12,11,2026-04-01,2026-04-01
THE LIGHT @ CAIRNHILL,220-230,9,CCR,Freehold,Condominium,4,5880000.0,11000.0,2.2449,44.545,1,4,2026-05-01,2026-01-01
BUTTERWORTH 8,90-100,15,RCR,Freehold,Condominium,2,2100000.0,4400.0,2.5143,39.773,1,5,2026-06-01,2026-05-01
THE FLORIDA,140-150,19,OCR,99 yrs lease commencing from 1997,Executive Condominium,,1630000.0,,,,1,0,2025-08-01,
M66,50-60,12,,,,2,,3200.0,,,0,1,,2026-04-01
THE TRILINQ,120-130,5,OCR,99 yrs lease commencing from 2012,Condominium,3,2365000.0,6100.0,3.0951,32.309,8,15,2026-07-01,2026-05-01
WATERBANK AT DAKOTA,140-150,14,RCR,99 yrs lease commencing from 2009,Condominium,4,,7500.0,,,0,1,2025-05-01,2025-08-01
D' CASITA,130-140,14,OCR,Freehold,Apartment,,,,,,0,0,2025-04-01,2025-07-01
THE PARC CONDOMINIUM,200-210,5,OCR,Freehold,Condominium,3,,6300.0,,,0,1,2025-04-01,2025-09-01
CITYLIFE@TAMPINES,220-230,18,OCR,99 yrs lease commencing from 2012,Executive Condominium,,,,,,0,0,2025-01-01,
SPOTTISWOODE SUITES,60-70,2,RCR,Freehold,Apartment,3,1730900.0,4600.0,3.1891,31.357,1,10,2026-06-01,2026-05-01
THOMSON GROVE,140-150,26,,,,3,,4600.0,,,0,3,,2026-02-01
HELIOS RESIDENCES,150-160,9,CCR,Freehold,Apartment,3,,9200.0,,,0,9,2025-07-01,2026-05-01
MOUNTBATTEN SUITES,90-100,15,,,,,,,,,0,0,,2025-04-01
THE TROPIC GARDENS,130-140,16,,,,3,,3900.0,,,0,1,,2026-03-01
ISLAND VIEW,280-290,5,,,,4,,8900.0,,,0,1,,2025-08-01
DEVONSHIRE RESIDENCES,70-80,9,CCR,Freehold,Apartment,1,,3450.0,,,0,2,2025-03-01,2026-01-01
THE ARTE,240-250,12,RCR,Freehold,Condominium,,3689000.0,,,,1,0,2025-09-01,
THE WHARF RESIDENCE,120-130,9,,,,3,,8100.0,,,0,3,,2026-04-01
MIDWOOD,70-80,23,OCR,99 yrs lease commencing from 2018,Condominium,2,1545000.0,4000.0,3.1068,32.188,6,6,2026-05-01,2026-05-01
REFLECTIONS AT KEPPEL BAY,90-100,4,RCR,99 yrs lease commencing from 2006,Condominium,2,1730000.0,5650.0,3.9191,25.516,5,32,2026-06-01,2026-05-01
SUI GENERIS,140-150,10,CCR,Freehold,Condominium,3,4150009.0,7850.0,2.2699,44.055,1,2,2026-01-01,2026-03-01
LA CRYSTAL,60-70,9,,,,1,,3500.0,,,0,5,,2026-04-01
CHATEAU LE FAME,160-170,10,,,,,,,,,0,0,,2025-01-01
D'CHATEAU @ SHELFORD,70-80,11,CCR,Freehold,Apartment,,,,,,0,0,2025-02-01,2025-07-01
FLORIDIAN,150-160,21,RCR,Freehold,Condominium,3,4224000.0,8500.0,2.4148,41.412,2,18,2026-05-01,2026-05-01
FIFTH AVENUE CONDOMINIUM,100-110,10,,,,,,,,,0,0,,2025-07-01
THE BROOKS II,60-70,26,OCR,Freehold,Apartment,2,1097500.0,3250.0,3.5535,28.141,2,2,2026-06-01,2026-05-01
VELA BAY,40-50,16,OCR,99 yrs lease commencing from 2025,Apartment,,1355000.0,,,,18,0,2026-04-01,
PARVIS,210-220,10,CCR,Freehold,Condominium,3,5112500.0,10800.0,2.535,39.448,2,2,2026-03-01,2026-05-01
FABER CREST,180-190,5,,,,,,,,,0,0,,2025-07-01
GOLD COAST CONDOMINIUM,140-150,5,,,,3,,4600.0,,,0,2,,2026-04-01
MAYSPRINGS,140-150,23,OCR,99 yrs lease commencing from 1994,Apartment,3,,4700.0,,,0,3,2025-04-01,2026-03-01
TANGLIN VIEW,130-140,3,RCR,99 yrs lease commencing from 1997,Condominium,,2800000.0,,,,1,0,2026-04-01,
GRAND DUCHESS AT ST PATRICK'S,>300,15,,,,,,,,,0,0,,2025-05-01
PALISADES,260-270,5,,,,3,,6500.0,,,0,1,,2026-01-01
RITZ MANSIONS,120-130,12,RCR,Freehold,Apartment,3,2000000.0,4150.0,2.49,40.161,1,3,2026-06-01,2026-03-01
ASPEN LOFT,70-80,15,,,,1,,3300.0,,,0,2,,2026-02-01
STRATFORD COURT,120-130,16,,,,3,,4450.0,,,0,2,,2025-10-01
WINDERMERE,110-120,23,OCR,99 yrs lease commencing from 1997,Executive Condominium,3,1325000.0,4300.0,3.8943,25.678,1,5,2026-03-01,2026-04-01
GREENDALE COURT,150-160,11,,,,NA,,4500.0,,,0,1,,2026-03-01
CELADON VIEW,240-250,17,,,,3,,4500.0,,,0,1,,2026-05-01
ASTORIA PARK,90-100,14,OCR,99 yrs lease commencing from 1993,Condominium,2,1420000.0,3900.0,3.2958,30.342,1,10,2026-05-01,2026-05-01
REZI 26,90-100,14,,,,3,,4200.0,,,0,2,,2025-12-01
THE NAUTICAL,40-50,27,OCR,99 yrs lease commencing from 2011,Condominium,NA,675000.0,2500.0,4.4444,22.5,1,6,2025-09-01,2026-03-01
THE RAINFOREST,110-120,23,OCR,99 yrs lease commencing from 2011,Executive Condominium,4,1885000.0,4500.0,2.8647,34.907,2,1,2025-08-01,2025-11-01
CASA FORTUNA,80-90,12,RCR,Freehold,Apartment,2,1500000.0,3725.0,2.98,33.557,1,2,2026-02-01,2026-05-01
CLEMENTI PARK,110-120,21,OCR,Freehold,Condominium,2,1780000.0,4000.0,2.6966,37.083,1,1,2025-08-01,2025-12-01
JERVOIS LODGE,80-90,10,CCR,Freehold,Condominium,2,1818818.0,3950.0,2.6061,38.372,1,4,2026-06-01,2026-04-01
PEOPLE'S PARK CENTRE,140-150,1,,,,3,,4600.0,,,0,5,,2026-03-01
COUNTRY PARK CONDOMINIUM,110-120,16,,,,2,,4100.0,,,0,3,,2026-05-01
RIVERSAILS,100-110,19,OCR,99 yrs lease commencing from 2011,Condominium,3,1710000.0,4200.0,2.9474,33.929,7,11,2026-06-01,2026-04-01
THE WISTERIA,50-60,27,OCR,99 yrs lease commencing from 2015,Apartment,2,830000.0,3000.0,4.3373,23.056,3,11,2025-10-01,2026-03-01
DAISY SUITES,70-80,13,OCR,Freehold,Apartment,2,1198000.0,4000.0,4.0067,24.958,1,3,2025-10-01,2026-04-01
IVORY HEIGHTS,150-160,22,OCR,100 yrs lease commencing from 1986,Condominium,NA,1700000.0,5000.0,3.5294,28.333,5,29,2026-04-01,2026-05-01
LIV @ MB,140-150,15,,,,NA,,10800.0,,,0,1,,2025-09-01
PARC ROSEWOOD,80-90,25,,,,3,,3300.0,,,0,1,,2026-04-01
THE CRISTALLO,70-80,15,,,,2,,3600.0,,,0,2,,2026-05-01
THE PEAK,500-550,5,RCR,Freehold,Condominium,,8500000.0,,,,1,0,2026-07-01,
THE SANTORINI,40-50,18,OCR,99 yrs lease commencing from 2013,Condominium,1,731500.0,2700.0,4.4293,22.577,8,57,2026-05-01,2026-05-01
833 M B RESIDENCES,150-160,15,,,,3,,6100.0,,,0,1,,2025-12-01
SING LIAN BUILDING,550-600,14,OCR,Freehold,Apartment,,,,,,0,0,2025-03-01,
QUEENSWAY TOWER,150-160,3,RCR,Freehold,Apartment,3,2278000.0,4400.0,2.3178,43.144,3,3,2026-01-01,2026-01-01
PHOENIX RESIDENCES,50-60,23,OCR,99 yrs lease commencing from 2019,Apartment,2,1155000.0,3200.0,3.3247,30.078,1,1,2025-08-01,2025-12-01
BREEZE BY THE EAST,160-170,16,OCR,Freehold,Condominium,3,3360000.0,6000.0,2.1429,46.667,1,3,2025-09-01,2026-04-01
LIVIA,100-110,18,OCR,99 yrs lease commencing from 2008,Condominium,2,1375000.0,3200.0,2.7927,35.807,1,1,2026-02-01,2025-11-01
PROXIMO,100-110,10,CCR,Freehold,Apartment,3,2650000.0,5600.0,2.5358,39.435,1,5,2026-06-01,2026-05-01
THE COLLECTIVE AT ONE SOPHIA,70-80,9,CCR,99 yrs lease commencing from 2023,Apartment,,2186500.0,,,,4,0,2026-04-01,
TEMBELING RESIDENCE,60-70,15,RCR,Freehold,Apartment,2,,3350.0,,,0,1,2025-01-01,2025-09-01
Q BAY RESIDENCES,110-120,18,OCR,99 yrs lease commencing from 2012,Condominium,3,1780888.0,4980.0,3.3556,29.801,1,1,2025-12-01,2025-08-01
WINDY HEIGHTS,>300,14,,,,4,,9075.0,,,0,2,,2025-11-01
CAVENAGH GARDENS,100-110,9,CCR,Freehold,Apartment,3,,4250.0,,,0,12,2025-05-01,2026-04-01
ATRIUM RESIDENCES,150-160,14,,,,2,,4200.0,,,0,1,,2026-04-01
PARK NATURA,120-130,23,RCR,Freehold,Condominium,3,2318000.0,5400.0,2.7955,35.772,1,2,2025-08-01,2026-03-01
WATER PLACE,130-140,15,RCR,99 yrs lease commencing from 1998,Condominium,4,,6675.0,,,0,2,2025-06-01,2026-04-01
CRAIG PLACE,90-100,2,,,,1,,4650.0,,,0,2,,2026-03-01
LIV @ MB,110-120,15,RCR,99 yrs lease commencing from 2021,Condominium,NA,3420000.0,8000.0,2.807,35.625,5,3,2026-05-01,2025-12-01
SANCTUARY GREEN,250-260,15,RCR,99 yrs lease commencing from 1997,Condominium,,3900000.0,,,,1,0,2026-06-01,
10 SHELFORD,60-70,11,,,,1,,2800.0,,,0,1,,2025-08-01
THE SUITES AT CENTRAL,150-160,9,CCR,Freehold,Condominium,4,4750000.0,10500.0,2.6526,37.698,1,3,2025-09-01,2026-04-01
THE AMORE,140-150,19,OCR,99 yrs lease commencing from 2013,Executive Condominium,,2168000.0,,,,1,0,2026-02-01,
THE LAURELS,120-130,9,CCR,Freehold,Condominium,3,3650000.0,8800.0,2.8932,34.564,3,18,2025-11-01,2026-05-01
THE VALES,90-100,19,OCR,99 yrs lease commencing from 2014,Executive Condominium,3,1738888.0,4450.0,3.0709,32.563,9,6,2026-06-01,2026-05-01
WILSHIRE RESIDENCES,110-120,10,,,,4,,7200.0,,,0,1,,2025-11-01
CHAPEL COURT,100-110,15,,,,3,,4600.0,,,0,2,,2026-05-01
TREASURE ON BALMORAL,170-180,10,,,,4,,10500.0,,,0,7,,2026-03-01
THE MEZZO,150-160,12,RCR,Freehold,Apartment,,1700000.0,,,,1,0,2025-08-01,
LOFT @ NATHAN,40-50,10,CCR,Freehold,Apartment,1,968000.0,3100.0,3.843,26.022,1,40,2026-04-01,2026-05-01
LAVERNE'S LOFT,40-50,15,OCR,Freehold,Apartment,1,748888.0,2700.0,4.3264,23.114,1,1,2026-02-01,2025-12-01
JANSEN HOUSE,90-100,19,OCR,999 yrs lease commencing from 1876,Apartment,,2100000.0,,,,5,0,2026-05-01,
YONG AN PARK,>300,9,,,,4,,13975.0,,,0,10,,2026-04-01
SUITES @ AMBER,50-60,15,,,,1,,3600.0,,,0,6,,2026-05-01
UBER 388,80-90,16,OCR,Freehold,Condominium,2,1700000.0,4100.0,2.8941,34.553,1,4,2026-05-01,2026-03-01
KENSINGTON PARK CONDOMINIUM,190-200,19,,,,NA,,6600.0,,,0,1,,2025-08-01
KENSINGTON PARK CONDOMINIUM,150-160,19,OCR,999 yrs lease commencing from 1878,Condominium,3,2910000.0,5000.0,2.0619,48.5,4,17,2026-06-01,2026-05-01
RITZ @ FARRER,60-70,8,,,,3,,4250.0,,,0,1,,2026-05-01
HIGH PARK RESIDENCES,100-110,28,OCR,99 yrs lease commencing from 2014,Apartment,4,2017500.0,4800.0,2.855,35.026,2,3,2026-06-01,2026-01-01
GLENTREES,250-260,10,,,,4,,9000.0,,,0,1,,2025-08-01
ONE AMBER,>300,15,,,,4,,13000.0,,,0,1,,2025-09-01
GRAND DUCHESS AT ST PATRICK'S,140-150,15,,,,3,,6500.0,,,0,1,,2025-08-01
THE FOLIAGE,160-170,5,,,,,,,,,0,0,,2025-07-01
AMO RESIDENCE,80-90,20,OCR,99 yrs lease commencing from 2021,Apartment,NA,2360000.0,5100.0,2.5932,38.562,7,5,2026-04-01,2026-05-01
NORWOOD GRAND,120-130,25,OCR,99 yrs lease commencing from 2023,Apartment,,2752000.0,,,,19,0,2026-06-01,
REGENTVILLE,160-170,19,OCR,99 yrs lease commencing from 1996,Apartment,2,1380000.0,4500.0,3.913,25.556,1,1,2025-11-01,2026-03-01
MIDTOWN MODERN,90-100,7,CCR,99 yrs lease commencing from 2019,Apartment,3,3198000.0,8100.0,3.0394,32.901,5,33,2026-01-01,2026-05-01
LAGUNA PARK,250-260,15,,,,NA,,8500.0,,,0,1,,2025-09-01
ONE LEICESTER,120-130,13,RCR,Freehold,Condominium,,,,,,0,0,2025-02-01,2025-07-01
HILLINGTON GREEN,220-230,23,OCR,999 yrs lease commencing from 1883,Condominium,,3088000.0,,,,1,0,2026-03-01,
BALMORAL RESIDENCES,220-230,10,,,,3,,9600.0,,,0,1,,2025-08-01
SEASCAPE,210-220,4,,,,3,,12150.0,,,0,6,,2026-05-01
MELOSA,60-70,14,,,,,,,,,0,0,,2025-07-01
PARC OASIS,70-80,22,OCR,99 yrs lease commencing from 1991,Condominium,1,968000.0,3600.0,4.4628,22.407,1,2,2026-04-01,2026-02-01
STADIA,50-60,19,OCR,Freehold,Apartment,1,,2900.0,,,0,5,2025-06-01,2026-03-01
BUCKLEY CLASSIQUE,120-130,11,,,,3,,7800.0,,,0,1,,2025-10-01
PARC VERA,170-180,19,,,,4,,5800.0,,,0,1,,2026-04-01
BLOSSOM RESIDENCES,120-130,23,OCR,99 yrs lease commencing from 2011,Executive Condominium,3,1680000.0,4650.0,3.3214,30.108,3,1,2026-06-01,2026-03-01
VAN HOLLAND,60-70,10,,,,2,,5300.0,,,0,3,,2025-11-01
THE SERENADE @ HOLLAND,130-140,10,,,,3,,6100.0,,,0,4,,2026-04-01
BISHAN 8,90-100,20,,,,2,,4025.0,,,0,6,,2026-03-01
THE INSPIRA,220-230,9,,,,3,,8300.0,,,0,1,,2025-10-01
COASTLINE RESIDENCES,100-110,15,RCR,Freehold,Apartment,3,3350000.0,7150.0,2.5612,39.044,1,6,2025-10-01,2026-04-01
PEOPLE'S PARK COMPLEX,140-150,1,,,,4,,6140.0,,,0,2,,2026-02-01
SUNSHINE LODGE,180-190,19,,,,,,,,,0,0,,2025-06-01
